title;abstract;keywords;authors;doi
Chapter 3 - Social media data analytics using feature engineering;;Feature engineering, Representation learning, Big data analytics, Clustering, Social media data;J. Anitha and I-Hsien Ting and S. Akila Agnes and S. Immanuel Alex Pandian and R.V. Belfin;https://doi.org/10.1016/B978-0-12-819779-0.00003-4
Using data mining to improve assessment of credit worthiness via credit scoring models;;Data mining, Credit scoring, Logistic regression, Decision tree, Classification, Predictive modeling;Bee Wah Yap and Seng Huat Ong and Nor Huselina Mohamed Husain;https://doi.org/10.1016/j.eswa.2011.04.147
Improving the performance of inductive learning classifiers through the presentation order of the training patterns;;Inductive learning, Rules family, Clustering, Classification;Gonzalo A. Ruz;https://doi.org/10.1016/j.eswa.2016.04.003
Edge sensing data-imaging conversion scheme of load forecasting in smart grid;;Empirical mode decomposition, Data-image conversion, Load forecasting, Smart grid, Edge intelligence;Xiaozhu Liu and Zhiyang Xiao and Rongbo Zhu and Jun Wang and Lu Liu and Maode Ma;https://doi.org/10.1016/j.scs.2020.102363
A fuzzy linguistic supported framework to increase Artificial Intelligence intelligibility for subject matter experts;;fuzzy linguistic modeling, expert knowledge modelling, decision making, intelligible AI;Juan Bernabé-Moreno and Karsten Wildberger;https://doi.org/10.1016/j.procs.2019.12.061
Combining machine-based and econometrics methods for policy analytics insights;;Causality, Computational Social Science, Data analytics, Econometrics, E-commerce, Empirical research, Fintech, Fusion analytics, Music popularity, Stock trading, Policy analytics, TV viewing, Video-on-demand (VoD);Robert J. Kauffman and Kwansoo Kim and Sang-Yong Tom Lee and Ai-Phuong Hoang and Jing Ren;https://doi.org/10.1016/j.elerap.2017.04.004
Improved market segmentation by fuzzifying crisp clusters: A case study of the energy market in Spain;;Customer segmentation, Fuzzy operators, Learning systems, Business case, Fuzzy segmentation;Mònica Casabayó and Núria Agell and Germán Sánchez-Hernández;https://doi.org/10.1016/j.eswa.2014.09.044
Integrated Rough Fuzzy Clustering for Categorical data Analysis;;Categorical data, Cluster validity indices, Rough Fuzzy Clustering, Simulated Annealing, Genetic Algorithm, Random Forest, Sensitivity analysis, Statistical test;Indrajit Saha and Jnanendra Prasad Sarkar and Ujjwal Maulik;https://doi.org/10.1016/j.fss.2018.02.007
Forecasting client retention — A machine-learning approach;;Client retention, Sales forecasting, Machine learning, Prepaid unitary services;Satu Elisa Schaeffer and Sara Veronica {Rodriguez Sanchez};https://doi.org/10.1016/j.jretconser.2019.101918
IBRIDIA: A hybrid solution for processing big logistics data;;Realtime processing, Clustering, Big data, Internet of Things, Logistics, Hierarchical clustering algorithm;Mohammed AlShaer and Yehia Taher and Rafiqul Haque and Mohand-Saïd Hacid and Mohamed Dbouk;https://doi.org/10.1016/j.future.2019.02.044
Big data analytics for smart factories of the future;;Digital manufacturing system, Information, Learning;Robert X. Gao and Lihui Wang and Moneer Helu and Roberto Teti;https://doi.org/10.1016/j.cirp.2020.05.002
Dynamic customer lifetime value prediction using longitudinal data: An improved multiple kernel SVR approach;;Data mining, Customer relationship management, Customer lifetime value, Dynamic multi-step-ahead prediction, Support vector machine, Multiple kernel learning;Zhen-Yu Chen and Zhi-Ping Fan;https://doi.org/10.1016/j.knosys.2013.01.022
Classifying and Understanding Prospective Customers via Heterogeneity of Supermarket Stores;;RFM, Customer Relationship Management, Logistic Regression;Takamasa Tanaka and Tomohiro Hamaguchi and Takumi Saigo and Kazuhiko Tsuda;https://doi.org/10.1016/j.procs.2017.08.133
Applying data mining to telecom churn management;;Churn management, Wireless telecommunication, Data mining, Decision tree, Neural network;Shin-Yuan Hung and David C. Yen and Hsiu-Yu Wang;https://doi.org/10.1016/j.eswa.2005.09.080
A data mining framework for detecting subscription fraud in telecommunication;;Fraud detection, Data mining, Neural networks, Decision tree, Support vector machines, Ensembles, Telecommunication.;Hamid Farvaresh and Mohammad Mehdi Sepehri;https://doi.org/10.1016/j.engappai.2010.05.009
Gated Mixture Variational Autoencoders for Value Added Tax audit case selection;;Value Added Tax, Audit selection, Variational autoencoder, Finite mixture model;Christos Kleanthous and Sotirios Chatzis;https://doi.org/10.1016/j.knosys.2019.105048
Predicting microblog users’ lifetime activities – A user-based analysis;;Social network, Microblogging, User lifetime vitality, Pareto/NBD model, BG/NBD model;Xi Chen and Ruibin Geng and Shun Cai;https://doi.org/10.1016/j.elerap.2014.06.001
Estimating customer lifetime value based on RFM analysis of customer purchase behavior: Case study;;Customer relationship management, Customer lifetime value, Data mining, RFM analysis, Customer segmentation;Mahboubeh Khajvand and Kiyana Zolfaghar and Sarah Ashoori and Somayeh Alizadeh;https://doi.org/10.1016/j.procs.2010.12.011
A survey on opinion mining and sentiment analysis: Tasks, approaches and applications;;Opinion mining, Sentiment analysis, Social media, Micro blog, Lexica creation, Machine learning, Ontology;Kumar Ravi and Vadlamani Ravi;https://doi.org/10.1016/j.knosys.2015.06.015
Bank misconduct and online lending;;Financial development, Consumer loans, Bank misconduct, FinTech;Christoph Bertsch and Isaiah Hull and Yingjie Qi and Xin Zhang;https://doi.org/10.1016/j.jbankfin.2020.105822
Estimating the effect of word of mouth on churn and cross-buying in the mobile phone market with Markov logic networks;;Data mining, Marketing, Telecommunications, Social network analysis;Torsten Dierkes and Martin Bichler and Ramayya Krishnan;https://doi.org/10.1016/j.dss.2011.01.002
Emotional responses to energy projects: A new method for modeling and prediction beyond self-reported emotion measure;;Artificial intelligence, CO2 capture and stoarge, Deep neural network algorithm, Environmental social science, Fuzzy logic, Fuzzy deep learning;Eric Buah and Lassi Linnanen and Huapeng Wu;https://doi.org/10.1016/j.energy.2019.116210
Chapter 17 - Alternative Exit and Restructuring Strategies: Bankruptcy, Reorganization, and Liquidation;;Corporate bankruptcy, Reorganization, Corporate liquidation, Chapter 11, Chapter 7, Chapter 15, Bankruptcy prediction models, Business failure, Voluntary settlements, Section 363 sales, Prepackaged bankruptcies, Deal structuring, Form of payment, Form of acquisition, Political and economic risks, Segmented markets, Tax rates, Corporate inversions, Debt for equity swaps, Hedge funds, Private equity funds, Financial distress, Out of court settlements, Involuntary settlements, Voluntary liquidation;Donald M. DePamphilis;https://doi.org/10.1016/B978-0-12-815075-7.00017-6
Abstracts;;;;https://doi.org/10.1016/j.fueleneab.2020.07.002
Abstracts;;;;https://doi.org/10.1016/j.fueleneab.2013.01.002
Neural networks in wireless networks: Techniques, applications and guidelines;;Wireless networks, Neural networks, Computational intelligence, Artificial intelligence;Nauman Ahad and Junaid Qadir and Nasir Ahsan;https://doi.org/10.1016/j.jnca.2016.04.006
Abstracts;;;;https://doi.org/10.1016/j.fueleneab.2020.05.002
Subject Index;;;;https://doi.org/10.1016/B0-12-227240-4/00202-1
Contextual motivation in physical activity by means of association rule mining;;Association rule mining, Physical activity, Regularity;Sugam Sharma and Udoyara Sunday Tim and Marinelle Payton and Hari Cohly and Shashi Gadia and Johnny Wong and Sudharshanam Karakala;https://doi.org/10.1016/j.eij.2015.06.003
Chapter 4 - Classification;;Classification, decision trees, rule induction, -nearest neighbors, naïve Bayesian, artificial neural networks, support vector machines, ensemble, bagging, boosting, random forests;Vijay Kotu and Bala Deshpande;https://doi.org/10.1016/B978-0-12-814761-0.00004-6
Unsupervised pre-trained filter learning approach for efficient convolution neural network;;Convolution neural networks, ConvNet application, ConvNet optimization, Learning methodologies;Sadaqat ur Rehman and Shanshan Tu and Muhammad Waqas and Yongfeng Huang and Obaid ur Rehman and Basharat Ahmad and Salman Ahmad;https://doi.org/10.1016/j.neucom.2019.06.084
The future decisions of RoboJudge HHJ Arthur Ian Blockchain: Dread, delight or derision?,;;Intelligence, Blockchain, Robot, Ethic, Algorithm, Crypto;Stephen Castell;https://doi.org/10.1016/j.clsr.2018.05.011
Chapter 12 - User-Generated Content and Social Media;;User-generated content, Social media, Economics of information, Design economics, D8, L1, L86;Michael Luca;https://doi.org/10.1016/B978-0-444-63685-0.00012-7
The next stage of U.S. communications policy: The emerging embedded infosphere;;Internet of Things, Big data, Intercloud, Artificial Intelligence, DIGIT Act, ICANN, Embedded Infosphere;Richard D. Taylor;https://doi.org/10.1016/j.telpol.2016.11.007
Front cover and table of contents;;;;https://doi.org/10.3182/20050703-6-CZ-1902.00001
3 - Ideation;;Analysis, Brainstorming, Creative, Creativity, Engine, Evaluation, Morphological, Problem, Solving, Tools, TRIZ;Peter R.N. Childs;https://doi.org/10.1016/B978-0-08-102367-9.00003-2
Technical Program;;;;https://doi.org/10.3182/20090630-4-ES-2003.90003
Subject Index;;;;https://doi.org/10.1016/B0-08-043076-7/99109-5
Deep Learning vs. Wise Learning: A Critical and Challenging Overview;;Learning, Knowledge, Wisdom, Deep Learning, Wise Learning, Fuzzy Cognitive Maps;Peter P. Groumpos;https://doi.org/10.1016/j.ifacol.2016.11.099
5 - 110 manufacturing methods;;;Gideon Halevi;https://doi.org/10.1016/B978-075065088-5/50005-4
Contents;;;;https://doi.org/10.1016/S1877-0509(17)31783-0
Data mining and the search for security: Challenges for connecting the dots and databases;;;Jeffrey W. Seifert;https://doi.org/10.1016/j.giq.2004.08.006
Expanded cloud plumes hiding Big Data ecosystem;;Cloud, Big Data, Smart Data and Lakes, IoT, XCLOUDX, as-a-Service;Sugam Sharma;https://doi.org/10.1016/j.future.2016.01.003
Big Data with deep learning for benchmarking profitability performance in project tendering;;Big Data, Project tendering, Text mining, Deep learning, Benchmarking KPIs;Muhammad Bilal and Lukumon O. Oyedele;https://doi.org/10.1016/j.eswa.2020.113194
Soft Computing based object detection and tracking approaches: State-of-the-Art survey;;Soft computing, Object detection and tracking, Neural network and deep learning, Fuzzy logic, Evolutionary algorithms;Manisha Kaushal and Baljit S. Khehra and Akashdeep Sharma;https://doi.org/10.1016/j.asoc.2018.05.023
Abstracts;;;;https://doi.org/10.1016/j.fueleneab.2015.12.002
Dynamic behavior based churn prediction in mobile telecom;;;Alboukaey, N. and Joukhadar, A. and Ghneim, N.;10.1016/j.eswa.2020.113779
A practical tutorial on bagging and boosting based ensembles for machine learning: Algorithms, software tools, performance study, practical perspectives and opportunities;;;González, S. and García, S. and Del Ser, J. and Rokach, L. and Herrera, F.;10.1016/j.inffus.2020.07.007
Social media analytics and business intelligence research: A systematic review;;;Choi, J. and Yoon, J. and Chung, J. and Coh, B.-Y. and Lee, J.-M.;10.1016/j.ipm.2020.102279
Instance-based entropy fuzzy support vector machine for imbalanced data;;;Cho, P. and Lee, M. and Chang, W.;10.1007/s10044-019-00851-x
The Portrait Depiction of the Market Members Based on Data Mining;;;Guan, J. and Tang, C. and Ou, J.;10.1142/S0218001420590247
A CUSUM tool for retrospectively evaluating team performance: the case of the English Premier League;;;Beggs, C. and Bond, A.J.;10.1108/SBM-03-2019-0025
Customer Churn Prediction for a Software-as-a-Service Inventory Management Software Company: A Case Study in Thailand;;;Amornvetchayakul, P. and Phumchusri, N.;10.1109/ICIEA49774.2020.9102099
Micro- and macro-level churn analysis of large-scale mobile games;;;Liu, X. and Xie, M. and Wen, X. and Chen, R. and Ge, Y. and Duffield, N. and Wang, N.;10.1007/s10115-019-01394-7
Leveraging fine-grained transaction data for customer life event predictions;;;De Caigny, A. and Coussement, K. and De Bock, K.W.;10.1016/j.dss.2019.113232
Fuzzy c-means clustering using Jeffreys-divergence based similarity measure;;;Seal, A. and Karlekar, A. and Krejcar, O. and Gonzalo-Martin, C.;10.1016/j.asoc.2019.106016
A novel approach to generate a large scale of supervised data for short text sentiment analysis;;;Sun, X. and He, J.;10.1007/s11042-018-5748-4
Water evaporation algorithm with probabilistic neural network for solving classification problems;;;Alweshah, M. and Ramadan, E. and Ryalat, M.H. and Almi'ani, M. and Hammouri, A.I.;10.5455/jjcit.71-1566466063
A Discriminative Approach to Sentiment Classification;;;Li, G. and Lin, Z. and Wang, H. and Wei, X.;10.1007/s11063-019-10108-7
Why you should stop predicting customer churn and start using uplift models;;;Devriendt, F. and Berrevoets, J. and Verbeke, W.;10.1016/j.ins.2019.12.075
Systematic comparisons of customer base prediction accuracy: Pareto/NBD versus neural network;;;Xie, S.-M. and Huang, C.-Y.;10.1108/APJML-09-2019-0520
Estimating customer churn under competing risks;;;Routh, P. and Roy, A. and Meyer, J.;10.1080/01605682.2020.1776166
A Comparative Study on Contract Recommendation Model: Using Macao Mobile Phone Datasets;;;Wang, G. and Wu, N.;10.1109/ACCESS.2020.2975029
Brave New World? On AI and the Management of Customer Relationships;;;Libai, B. and Bart, Y. and Gensler, S. and Hofacker, C.F. and Kaplan, A. and Kötterheinrich, K. and Kroll, E.B.;10.1016/j.intmar.2020.04.002
Multi-objective evolutionary approach for the performance improvement of learners using ensembling feature selection and discretization technique on medical data;;;Singh, D. and Sisodia, D.S. and Singh, P.;10.2174/1573405614666180903114534
An 'Outside the Box' Solution for Imbalanced Data Classification;;;Jegierski, H. and Saganowski, S.;10.1109/ACCESS.2020.3007801
User Classification in Electronic Devices Using Machine Learning Methods;;;Liu, X. and Wang, W. and Victor Chan, W.K. and Kuan, C.Y. and Lee, J.;10.1109/IEEM44572.2019.8978567
Disaster damage assessment from the tweets using the combination of statistical features and informative words;;;Madichetty, S. and Sridevi, M.;10.1007/s13278-019-0579-5
Fuzzy neural network with support vector-based learning for classification and regression;;;Khodabandelou, G. and Ebadzadeh, M.M.;10.1007/s00500-019-04116-x
Machine learning facilitated business intelligence (Part II): Neural networks optimization techniques and applications;;;Khan, W.A. and Chung, S.H. and Awan, M.U. and Wen, X.;10.1108/IMDS-06-2019-0351
Can artificial neural network models be used to improve the analysis of B2B marketing research data?;;;Wilson, R.D. and Bettis-Outland, H.;10.1108/JBIM-01-2019-0060
How Do Usage and Payment Behavior Interact in Rent-to-Own Business Models? Evidence from Developing Economies;;;Guajardo, J.A.;10.1111/poms.13067
Prediction of cooling efficiency of forced-air precooling systems based on optimized differential evolution and improved BP neural network;;;Han, J.-W. and Li, Q.-X. and Wu, H.-R. and Zhu, H.-J. and Song, Y.-L.;10.1016/j.asoc.2019.105733
Topology-based clusterwise regression for user segmentation and demand forecasting;;;Rivera-Castro, R. and Pletnev, A. and Pilyugina, P. and Diaz, G. and Nazarov, I. and Zhu, W. and Burnaev, E.;10.1109/DSAA.2019.00048
An efficient system for customer churn prediction through particle swarm optimization based feature selection model with simulated annealing;;;Vijaya, J. and Sivasankar, E.;10.1007/s10586-017-1172-1
From non-paying to premium: Predicting user conversion in video games with ensemble learning;;;Guitart, A. and Tan, S.H. and Río, A.F.D. and Chen, P.P. and Periáñez, A.;10.1145/3337722.3341855
Fuzzy One-Class Extreme Auto-encoder;;;Yu, H. and Sun, D. and Xi, X. and Yang, X. and Zheng, S. and Wang, Q.;10.1007/s11063-018-9952-z
A criterion for the comparison of binary classifiers based on a stochastic dominance with an application to the sale of home insurances;;;López-Díaz, M.C. and López-Díaz, M. and Martínez-Fernández, S.;10.1080/03461238.2019.1574237
Churn Prediction in Banking System using K-Means, LOF, and CBLOF;;;Ullah, I. and Hussain, H. and Ali, I. and Liaquat, A.;10.1109/ICECCE47252.2019.8940667
Emotion Intensity Estimation from Video Frames using Deep Hybrid Convolutional Neural Networks;;;Thuseethan, S. and Rajasegarar, S. and Yearwood, J.;10.1109/IJCNN.2019.8852365
Analysis of technological knowledge stock and prediction of its future development potential: The case of lithium-ion batteries;;;Aaldering, L.J. and Leker, J. and Song, C.H.;10.1016/j.jclepro.2019.03.174
History, Evolution and Future of Big Data and Analytics: A Bibliometric Analysis of Its Relationship to Performance in Organizations;;;Batistič, S. and van der Laken, P.;10.1111/1467-8551.12340
Customer Churn Prediction with Feature Embedded Convolutional Neural Network: An Empirical Study in the Internet Funds Industry;;;Wang, C. and Han, D. and Fan, W. and Liu, Q.;10.1142/S1469026819500032
Aspect extraction from bangla reviews using convolutional neural network;;;Rahman, M.A. and Kumar Dey, E.;10.1109/ICIEV.2018.8641050
Customer Lifetime Value in Video Games Using Deep Learning and Parametric Models;;;Chen, P.P. and Guitart, A. and Del Río, A.F. and Periáñez, A.;10.1109/BigData.2018.8622151
An Adaptive Pre-clustering Support Vector Machine for Binary Imbalanced Classification;;;Di, Z. and Yao, S. and Kang, Q. and Zhou, M.;10.1109/SMC.2018.00124
Comparing and evaluating machine learning algorithms for predicting customer churn in telecommunication industry;;;Isabella Amali, A. and Arunkumar, R. and Mohan, S.;
Sampling method based on improved C4.5 decision tree and its application in prediction of telecom customer churn;;;Deng, W. and Deng, L. and Liu, J. and Qi, J.;10.1504/IJITM.2019.097887
An efficient noise-filtered ensemble model for customer churn analysis in aviation industry;;;Li, Y. and Wei, J. and Kang, K. and Wu, Z.;10.3233/JIFS-182807
An experimental analysis of churn prediction techniques on real time datasets;;;Saklani, S. and Neware, S.;
Multi-Class Learning from Label Proportions for Bank Customer Classification;;;Qian, Y. and Tong, Q. and Wang, B.;10.1016/j.procs.2019.12.006
Making Machine Learning Forget;;;Shintre, S. and Roundy, K.A. and Dhaliwal, J.;10.1007/978-3-030-21752-5_6
A Spammer Identification Method for Class Imbalanced Weibo Datasets;;;Tang, W. and Ding, Z. and Zhou, M.;10.1109/ACCESS.2019.2901756
Variational bayes for mixture models with censored data;;;Kohjima, M. and Matsubayashi, T. and Toda, H.;10.1007/978-3-030-10928-8_36
LFit: An unsupervised discretization method based on the Ramer–Douglas–Peucker algorithm;;;Mutlu, A. and Göz, F. and Akbulut, O.;10.3906/elk-1806-192
A robust correlation analysis framework for imbalanced and dichotomous data with uncertainty;;;Lai, C.S. and Tao, Y. and Xu, F. and Ng, W.W.Y. and Jia, Y. and Yuan, H. and Huang, C. and Lai, L.L. and Xu, Z. and Locatelli, G.;10.1016/j.ins.2018.08.017
Deep Learning Approach for Intelligent Intrusion Detection System;;;Vinayakumar, R. and Alazab, M. and Soman, K.P. and Poornachandran, P. and Al-Nemrat, A. and Venkatraman, S.;10.1109/ACCESS.2019.2895334
An efficient preprocessing method for supervised sentiment analysis by converting sentences to numerical vectors: a twitter case study;;;Sohrabi, M.K. and Hemmatian, F.;10.1007/s11042-019-7586-4
Vibration Test of Single Coal Gangue Particle Directly Impacting the Metal Plate and the Study of Coal Gangue Recognition Based on Vibration Signal and Stacking Integration;;;Yang, Y. and Zeng, Q. and Yin, G. and Wan, L.;10.1109/ACCESS.2019.2932118
Behavioral attributes and financial churn prediction;;;Kaya, E. and Dong, X. and Suhara, Y. and Balcisoy, S. and Bozkaya, B. and Pentland, A.S.;10.1140/epjds/s13688-018-0165-5
Personality, User Preferences and Behavior in Recommender systems;;;Karumur, R.P. and Nguyen, T.T. and Konstan, J.A.;10.1007/s10796-017-9800-0
Customer Churn Prediction Modelling Based on Behavioural Patterns Analysis using Deep Learning;;;Agrawal, S. and Das, A. and Gaikwad, A. and Dhage, S.;10.1109/ICSCEE.2018.8538420
Forecasting of financial risk users' outflow;;;Kuznietsova, N. and Bidyuk, P.;10.1109/SAIC.2018.8516782
Research on grain storage temperature prediction model based on time series method;;;Li, Z. and Zhu, Y. and Zhen, T. and Zhu, C.;
AFSNN: A Classification Algorithm Using Axiomatic Fuzzy Sets and Neural Networks;;;Duan, X. and Wang, Y. and Pedrycz, W. and Liu, X. and Wang, C. and Li, Z.;10.1109/TFUZZ.2017.2788875
A random coefficients mixture hidden Markov model for marketing research;;;Kappe, E. and Stadler Blank, A. and DeSarbo, W.S.;10.1016/j.ijresmar.2018.07.002
Predicting interpurchase time in a retail environment using customer-product networks: An empirical study and evaluation;;;Lismont, J. and Ram, S. and Vanthienen, J. and Lemahieu, W. and Baesens, B.;10.1016/j.eswa.2018.03.016
Clustering prediction techniques in defining and predicting customers defection: The case of e-commerce context;;;Rachid, A.D. and Abdellah, A. and Belaid, B. and Rachid, L.;10.11591/ijece.v8i4.pp2367-2383
Multi Criteria Decision Making in Financial Risk Management with a Multi-objective Genetic Algorithm;;;Srinivasan, S. and Kamalakannan, T.;10.1007/s10614-017-9683-7
A novel knowledge-leverage-based transfer learning algorithm;;;Li, M. and Dai, Q.;10.1007/s10489-017-1084-z
Multiple feature inputs support vector regression;;;Yuan, C. and Xu, S.;10.1109/CCDC.2018.8407338
An innovative optimized model to anticipate clients about immigration in telecom industry;;;Naik, M.V. and Reddy, S.S.;10.1109/ICATCCT.2017.8389139
On the operational efficiency of different feature types for telco Churn prediction;;;Mitrović, S. and Baesens, B. and Lemahieu, W. and De Weerdt, J.;10.1016/j.ejor.2017.12.015
A New Fuzzy Modeling Framework for Integrated Risk Prognosis and Therapy of Bladder Cancer Patients;;;Obajemu, O. and Mahfouf, M. and Catto, J.W.F.;10.1109/TFUZZ.2017.2735939
Interactive evolutionary approaches to multiobjective feature selection;;;Özmen, M. and Karakaya, G. and Köksalan, M.;10.1111/itor.12428
Advanced Customer Analytics: Strategic Value Through Integration of Relationship-Oriented Big Data;;;Kitchens, B. and Dobolyi, D. and Li, J. and Abbasi, A.;10.1080/07421222.2018.1451957
A Novel Greedy Randomized Dynamic Ensemble Selection Algorithm;;;Ye, R. and Dai, Q.;10.1007/s11063-017-9670-y
Profit-Based Model Selection for Customer Retention Using Individual Customer Lifetime Values;;;Óskarsdóttir, M. and Baesens, B. and Vanthienen, J.;10.1089/big.2018.0015
Retention futility: Targeting high-risk customers might be ineffective;;;Ascarza, E.;10.1509/jmr.16.0163
A Robust profit measure for binary classification model evaluation;;;Garrido, F. and Verbeke, W. and Bravo, C.;10.1016/j.eswa.2017.09.045
To be or not to be... social: Incorporating simple social features in mobile game customer lifetime value predictions;;;Drachen, A. and Pastor, M. and Liu, A. and Fontaine, D.J. and Chang, Y. and Runge, J. and Sifa, R. and Klabjan, D.;10.1145/3167918.3167925
Multiagent-consensus-MapReduce-based attribute reduction using co-evolutionary quantum PSO for big data applications;;;Ding, W. and Lin, C.-T. and Chen, S. and Zhang, X. and Hu, B.;10.1016/j.neucom.2017.06.059
Benchmarking sampling techniques for imbalance learning in churn prediction;;;Zhu, B. and Baesens, B. and Backiel, A. and Vanden Broucke, S.K.L.M.;10.1057/s41274-016-0176-1
Herding by Foreign Institutional Investors: An Evidential Exploration for Persistence and Predictability;;;Chattopadhyay, M. and Garg, A.K. and Mitra, S.K.;10.1080/15427560.2017.1373282
Churn and non-churn of customers in banking sector using extreme learning machine;;;Mohanty, R. and Naga Ratna Sree, C.;10.1007/978-981-10-8228-3_6
Identifying attrition causing products using RFM analysis;;;Anuradha, T. and Lakshmi Surekha, T.;
Feasibility of B2C customer relationship analytics in the B2B industrial context;;;Stormi, K. and Laine, T. and Elomaa, T.;
A stability constrained adaptive alpha for gravitational search algorithm;;;Sun, G. and Ma, P. and Ren, J. and Zhang, A. and Jia, X.;10.1016/j.knosys.2017.10.018
Identifying soccer players on facebook through predictive analytics;;;Bogaert, M. and Ballings, M. and Hosten, M. and Van Den Poel, D.;10.1287/deca.2017.0354
Personalized air travel prediction: A multi-factor perspective;;;Liu, J. and Liu, B. and Liu, Y. and Chen, H. and Feng, L. and Xiong, H. and Huang, Y.;10.1145/3078845
Challenges in the Analysis of Online Social Networks: A Data Collection Tool Perspective;;;Goswami, A. and Kumar, A.;10.1007/s11277-017-4712-3
Comparison of deep learning algorithms to predict customer churn within a local retail industry;;;Dingli, A. and Marmara, V. and Fournier, N.S.;10.18178/ijmlc.2017.7.5.634
GMDH-based semi-supervised feature selection for customer classification;;;Xiao, J. and Cao, H. and Jiang, X. and Gu, X. and Xie, L.;10.1016/j.knosys.2017.06.018
Partition cost-sensitive CART based on customer value for Telecom customer churn prediction;;;Wang, C. and Li, R. and Wang, P. and Chen, Z.;10.23919/ChiCC.2017.8028259
A stochastic comparison of customer classifiers with an application to customer attrition in commercial banking;;;López-Díaz, M.C. and López-Díaz, M. and Martínez-Fernández, S.;10.1080/03461238.2016.1209549
A fast density and grid based clustering method for data with arbitrary shapes and noise;;;Wu, B. and Wilamowski, B.M.;10.1109/TII.2016.2628747
Scalable RFM-Enriched representation learning for churn prediction;;;Mitrović, S. and Singh, G. and Baesens, B. and Lemahieu, W. and De Weerdt, J.;10.1109/DSAA.2017.42
Churn prediction model for effective gym customer retention;;;Semrl, J. and Matei, A.;10.1109/BESC.2017.8256379
Intelligent data analysis approaches to churn as a business problem: a survey;;;García, D.L. and Nebot, À. and Vellido, A.;10.1007/s10115-016-0995-z
Customer churn prediction in the telecommunication sector using a rough set approach;;;Amin, A. and Anwar, S. and Adnan, A. and Nawaz, M. and Alawfi, K. and Hussain, A. and Huang, K.;10.1016/j.neucom.2016.12.009
Comparison of supervised machine learning techniques for customer churn prediction based on analysis of customer behavior;;;Khodabandehlou, S. and Zivari Rahman, M.;10.1108/JSIT-10-2016-0061
A survey of artificial intelligence techniques employed for adaptive educational systems within e-learning platforms;;;Almohammadi, K. and Hagras, H. and Alghazzawi, D. and Aldabbagh, G.;10.1515/jaiscr-2017-0004
Churn prediction in mobile social games: Towards a complete assessment using survival ensembles;;;Perianez, A. and Saas, A. and Guitart, A. and Magne, C.;10.1109/DSAA.2016.84
Optimizing security and quality of service in a Real-time database system using Multi-objective genetic algorithm;;;Zhao, X. and Lin, Q. and Chen, J. and Wang, X. and Yu, J. and Ming, Z.;10.1016/j.eswa.2016.07.023
Classification of gene expression data using multiobjective differential evolution;;;Ma, S. and Li, X. and Wang, Y.;10.3390/en9121061
Churn detection and prediction in automotive supply industry;;;Karapinar, H.C. and Altay, A. and Kayakutlu, G.;10.15439/2016F245
Application of Computational Intelligence to Predict Churn and Non-Churn of Customers in Indian Telecommunication;;;Mohanty, R. and Rani, K.J.;10.1109/CICN.2015.123
Domain adaptation in the absence of source domain data;;;Chidlovskii, B. and Clinchant, S. and Csurka, G.;10.1145/2939672.2939716
A Survey on Evolutionary Computation Approaches to Feature Selection;;;Xue, B. and Zhang, M. and Browne, W.N. and Yao, X.;10.1109/TEVC.2015.2504420
Identifying (Quasi) Equally Informative Subsets in Feature Selection Problems for Classification: A Max-Relevance Min-Redundancy Approach;;;Karakaya, G. and Galelli, S. and Ahipasaoglu, S.D. and Taormina, R.;10.1109/TCYB.2015.2444435
Finding influential users in social media using association rule learning;;;Erlandsson, F. and Bródka, P. and Borg, A. and Johnson, H.;10.3390/e18050164
Predicting churn of expert respondents in social networks using data mining techniques: A case study of stack overflow;;;Adaji, I. and Vassileva, J.;10.1109/ICMLA.2015.120
Social media optimization: Identifying an optimal strategy for increasing network size on Facebook;;;Ballings, M. and Van den Poel, D. and Bogaert, M.;10.1016/j.omega.2015.04.017
The added value of Facebook friends data in event attendance prediction;;;Bogaert, M. and Ballings, M. and Van Den Poel, D.;10.1016/j.dss.2015.11.003
Intangible assets evaluation: The machine learning perspective;;;Tsai, C.-F. and Lu, Y.-H. and Hung, Y.-C. and Yen, D.C.;10.1016/j.neucom.2015.10.041
Comparing Churn Prediction Techniques and Assessing Their Performance: A Contingent Perspective;;;Tamaddoni, A. and Stakhovych, S. and Ewing, M.;10.1177/1094670515616376
Churn perdiction in the telecom business;;;Esteves, G. and Mendes-Moreira, J.;10.1109/ICDIM.2016.7829775
Predicting user participation in social media;;;Erlandsson, F. and Borg, A. and Johnson, H. and Bródka, P.;10.1007/978-3-319-28361-6_10
Regaining drifting mobile communication customers: Predicting the odds of success of winback efforts with competing risks regression;;;Gerpott, T.J. and Ahmadi, N.;10.1016/j.eswa.2015.05.011
Evaluating multiple classifiers for stock price direction prediction;;;Ballings, M. and Van Den Poel, D. and Hespeels, N. and Gryp, R.;10.1016/j.eswa.2015.05.013
Using metaheuristics to optimize the combination of classifier and cluster ensembles;;;Coletta, L.F.S. and Hruschka, E.R. and Acharya, A. and Ghosh, J.;10.3233/ICA-150485
Maximize what matters: Predicting customer churn with decisioncentric ensemble selection;;;Baumann, A. and Coussement, K. and Lessmann, S. and De Bock, K.;
CRM in social media: Predicting increases in Facebook usage frequency;;;Ballings, M. and Van Den Poel, D.;10.1016/j.ejor.2015.01.001
